rank,faculty_name,institution,priority_bucket,grad_advisor_fit,focus_tags,why_research_now,first_action_for_theo,suggested_outreach_window,openalex_profile_url
1,Cayelan C. Carey,Virginia Tech,A - strongest fit,Strong (university advisor pipeline),forecasting; ecological_networks; ecosystem_modeling,"Recurring publication signal (25 matched works) in forecasting, ecological_networks, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5050269082
4,Michael C. Dietze,Boston University,A - strongest fit,Strong (university advisor pipeline),forecasting; ecosystem_modeling,"Recurring publication signal (16 matched works) in forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5058192976
8,Xiao Feng,University of North Carolina at Chapel Hill,A - strongest fit,Strong (university advisor pipeline),forecasting; species_distribution; bayesian_models,"Recurring publication signal (12 matched works) in forecasting, species_distribution, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5080264402
17,Ethan P. White,University of Florida,A - strongest fit,Strong (university advisor pipeline),forecasting,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5060079821
19,Carl Boettiger,"University of California, Berkeley",A - strongest fit,Strong (university advisor pipeline),forecasting,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5032226777
22,S. K. Morgan Ernest,University of Florida,B - high potential,Strong (university advisor pipeline),forecasting,Recurring publication signal (11 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5036440158
32,Jeannine Cavender‐Bares,Harvard University,B - high potential,Strong (university advisor pipeline),remote_sensing; species_distribution,"Recurring publication signal (8 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5041317932
35,J. S. McLachlan,University of Notre Dame,B - high potential,Strong (university advisor pipeline),forecasting,Recurring publication signal (10 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5051640520
41,Alyssa Willson,University of Notre Dame,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (9 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5038063284
48,Juniper L. Simonis,University of Florida,B - high potential,Strong (university advisor pipeline),forecasting,Recurring publication signal (8 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5082344351
55,Marlon E. Cobos,University of Kansas,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (6 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5007340872
61,Philip A. Townsend,Louisiana State University,C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5014556096
62,John A. Gamon,University of Nebraska–Lincoln,C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5034480863
65,Monica Papeş,University of Tennessee at Knoxville,C - keep on longlist,Strong (university advisor pipeline),species_distribution; bayesian_models,"Recurring publication signal (5 matched works) in species_distribution, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5032164522
79,Alan E. Gelfand,Duke University,C - keep on longlist,Strong (university advisor pipeline),joint_models; hierarchical_models,"Recurring publication signal (5 matched works) in joint_models, hierarchical_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5042522667
80,Cory Merow,University of Connecticut,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5006070240
95,Colin J. Carlson,Yale University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5012579229
99,David Chagaris,University of Florida,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; food_webs,"Recurring publication signal (5 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5081230238
111,Melissa A. Kenney,University of Minnesota,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (5 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5041053606
113,Erin L. Hestir,"University of California, Merced",C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5011542168
115,C. Sudhakar Reddy,University of North Carolina at Chapel Hill,C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5061730304
120,J. Christopher D. Terry,Mansfield University,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (5 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5088426267
121,Phoebe L. Zarnetske,Michigan State University,C - keep on longlist,Strong (university advisor pipeline),remote_sensing; species_distribution,"Recurring publication signal (4 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5023169973
129,Mevin B. Hooten,"University of California, Santa Cruz",C - keep on longlist,Strong (university advisor pipeline),joint_models; forecasting; hierarchical_models,"Recurring publication signal (4 matched works) in joint_models, forecasting, hierarchical_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5082476482
135,Jordan S. Read,Consortium of Universities for the Advancement of Hydrologic Science,C - keep on longlist,Strong (university advisor pipeline),ecological_ml; forecasting; ecological_networks,"Recurring publication signal (4 matched works) in ecological_ml, forecasting, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5044490476
138,Adrienne Breef‐Pilz,Virginia Tech,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (5 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5069142514
152,Sadie J. Ryan,University of Florida,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5059560578
155,Kyla M. Dahlin,Michigan State University,C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5030208538
156,Janet A. Nye,University of North Carolina at Chapel Hill,C - keep on longlist,Strong (university advisor pipeline),joint_models; forecasting; ecosystem_modeling,"Recurring publication signal (4 matched works) in joint_models, forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5010058680
157,Freya Olsson,Virginia Tech,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5078134815
160,Caleb J. Robbins,University of Alaska Fairbanks,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5070392847
167,Xiaofeng Xu,San Diego State University,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (4 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5039637131
176,Catherine A. Lippi,University of Florida,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5077111372
183,Donald Scavia,University of Michigan,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5063437850
184,Robert Guralnick,Florida State University,C - keep on longlist,Strong (university advisor pipeline),forecasting; species_distribution; remote_sensing,"Recurring publication signal (4 matched works) in forecasting, species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5017811194
192,Ralph Dubayah,"University of Maryland, College Park",C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; species_distribution,"Recurring publication signal (3 matched works) in ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5077118042
201,Sarah I. Meenan,City College of New York,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5070269642
208,Timothy E. Essington,University of Washington,C - keep on longlist,Strong (university advisor pipeline),forecasting; species_distribution,"Recurring publication signal (3 matched works) in forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5056037781
212,Antoinette Abeyta,University of New Mexico,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5011980752
216,Jeff S. Wesner,University of South Dakota,C - keep on longlist,Strong (university advisor pipeline),bayesian_models; food_webs,"Recurring publication signal (3 matched works) in bayesian_models, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5048859154
226,Jeffrey W. Doser,North Carolina State University,C - keep on longlist,Strong (university advisor pipeline),joint_models; forecasting; species_distribution,"Recurring publication signal (3 matched works) in joint_models, forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5087734905
238,Elisa Marchetto,New York University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5007308206
247,Dexter W. Howard,Virginia Tech,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5074980910
251,Rachel S. Corrigan,Colorado School of Mines,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5005322578
253,Temilola Fatoyinbo,Massachusetts Institute of Technology,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; remote_sensing,"Recurring publication signal (3 matched works) in ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5000005785
257,Josep M. Serra‐Diaz,University of Connecticut,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5063735907
259,Hayden Gallo,University of Notre Dame,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5058090839
270,William J. Castillo,"University of Nevada, Las Vegas",C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5108556931
277,Kevin M. King,University of Washington,C - keep on longlist,Strong (university advisor pipeline),bayesian_models,Recurring publication signal (3 matched works) in bayesian_models; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5078451901
281,Scott C. Doney,University of Virginia,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; remote_sensing,"Recurring publication signal (3 matched works) in ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5019762083
287,Anthony R. Ives,University of Wisconsin–Madison,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5089142551
291,Lindsay P. Campbell,University of Florida,C - keep on longlist,Strong (university advisor pipeline),forecasting; species_distribution,"Recurring publication signal (3 matched works) in forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5021726460
295,Anna K. Schweiger,Montana State University,C - keep on longlist,Strong (university advisor pipeline),remote_sensing; species_distribution,"Recurring publication signal (3 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5069111470
301,Margaret Heinichen,University of Rhode Island,C - keep on longlist,Strong (university advisor pipeline),food_webs,Recurring publication signal (4 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5030832558
322,Charles P. Hawkins,Utah State University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5040401640
324,Jacob Nesslage,"University of California, Merced",C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5017719816
326,Qianlai Zhuang,Purdue University West Lafayette,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5057772380
327,Jonas Dora,University of Washington,C - keep on longlist,Strong (university advisor pipeline),bayesian_models,Recurring publication signal (3 matched works) in bayesian_models; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5075412623
335,Hanqin Tian,Boston College,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5100771544
338,Xiao Yang,University of North Carolina at Chapel Hill,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5100744560
343,Glenda M. Yenni,University of Florida,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5087965283
344,L. Ruby Leung,Boston University,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5087402778
345,Albert J. Hermann,University of Washington,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; food_webs,"Recurring publication signal (3 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5022308549
346,Matthew E. Aiello‐Lammens,Pace University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5050122395
351,Jorge Soberón,University of Kansas,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5077997924
361,Daijiang Li,University of Wisconsin–Madison,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5057569385
368,N. Thompson Hobbs,Colorado State University,C - keep on longlist,Strong (university advisor pipeline),forecasting; food_webs; ecosystem_modeling,"Recurring publication signal (2 matched works) in forecasting, food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5031310086
371,David A. Moeller,University of Minnesota,C - keep on longlist,Strong (university advisor pipeline),species_distribution; joint_models,"Recurring publication signal (2 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5055351697
373,Morgan W. Tingley,"University of California, Los Angeles",C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5027347443
378,Kim de Mutsert,University of Southern Mississippi,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; food_webs,"Recurring publication signal (3 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5054639023
